index,name,url,Специализация,Подвид,"Технологии, инструменты",Уровень сложности,summary,other
6144,Разработчик,https://gb.ru/geek_university/developer,"Разработчик — это максимально общее название специалистов, которые связаны с разработкой нового программного обеспечения, сайтов, платформ, экосистем, баз данных, технологических устройств и архитектуры. Они действуют в рамках своей роли в команде, но в целом способны сделать любой проект от стадии замысла до его реализации техническими средствами, Выберу в процессе обучения","Frontend,Backend,Fullstack,Ручное,Автоматизированное,Сбор и обработка данных,Визуализация данных,Анализ данных,Машинное обучение,Data Science,Нейронные сети,Искусственный интеллект","Java,Python,JavaScript,C++,C,TCP/IP,SQL,NoSQL,Linux,Git,HTML/CSS,Docker,Allure,Selenium,Unit,Power BI,Tableau,Amplitude,ANNs,GAN,и другие",Junior,"Станьте востребованным разработчиком. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, операционные системы, программное обеспечение, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
"
6247,Инженер-программист C++,https://gb.ru/geek_university/developer/programmer/cpp,"Разработчик C++ создаёт программы, приложения, игры, операционные системы, драйверы и другое высоконагруженное программное обеспечение. Если вы хотите выжать максимум из любого «железа», программировать роботов, создать свою ОС, язык или другую мощную и жадную до ресурсов штуку — вам понадобится язык программирования С++, Программирование",Backend,"C++,Linux,STL,Cmake,QT,TCP/UDP,HTTP,Git",Junior,"Получите профессию инженера-программиста C++. Создавайте программы, игры, драйвера для устройств, приложения для встраиваемых систем, серверов и даже операционные системы. Изучите основы этого языка и на практике научитесь создавать веб - и мобильные приложения и реализовывать графические интерфейсы для работы, на которую вы сможете устроиться после 9 месяцев обучения.","Введение в программирование
Что такое программирование и языки программирования
Создаем и записываем свои первые алгоритмы
Базовые алгоритмы и массив как структура данных
Решаем задачи с массивами
Сложность и стоимость алгоритмов
Сравниваем разные алгоритмы решения задач
Аттестация по теме
Введение в контроль версий
Знакомство с контролем версий
Первое использование контроля версий
Установка и настройка системы контроля версий
Второе использование контроля версий
Углубляемся в контроль версий
Работа с удаленными репозиториями
Аттестация по теме
Знакомство с языками программирования
Знакомство с языком программирования C#
Знакомство с функциями и массивами
Базовые алгоритмы
Функции
Функции и одномерные массивы
Рекурсия и двумерные массивы
Одномерные массивы
Как не нужно писать код: основные рекомендации
Как не нужно писать код: принципы и антипаттерны
Двумерные массивы
Рекурсия
C#: от простого к практике
Аттестация по теме
Знакомство с базами данных
SQL, Google Sheets, MS Excel
Работа с данными из разных таблиц
Создание структуры базы данных
Аттестация по теме
Специализация
7 месяцев

Знакомство с языком Python
Знакомство с языком программирования Python
Ввод-Вывод, операторы ветвления
Циклы (for, while)
Коллекции данных, профилирование и отладка кода
Списки и словари
Словари, множества и профилирование
Функции, рекурсия, алгоритмы
Рекурсия и алгоритмы
Повторение списков
Функции высшего порядка, работа с файлами
Работа с файлами
Google Colab (Jupyter). Знакомство с аналитикой
Работа с табличными данными
Построение графиков
Java: знакомство и как пользоваться базовым API
Знакомство с языком программирования Java
Почему вы не можете не использовать API
Коллекции Java: Введение
Хранение и обработка данных ч.1: приоритетные коллекции
Хранение и обработка данных ч.2: множество коллекций Map
Хранение и обработка данных ч.3: множество коллекций Set
Объектно-ориентированное программирование (ООП)
Введение в ООП. Свои типы и концепты
Принципы ООП: Инкапсуляция, наследование, полиморфизм
Принципы ООП Абстракция и интерфейсы. Пример проектирования
Некоторые стандартные интерфейсы Java и примеры их использования
ООП: Обобщения
ООП: От простого к практике
ООП: Дизайн и Solid ч.1
ООП: Дизайн и Solid ч.2
Аттестация по теме
⦿ Промежуточная аттестация
Исключения в программировании и их обработка
Обработка ошибок в программировании
Исключения и их обработка
Продвинутая работа с исключениями в Java
Аттестация по теме
Операционные системы и виртуализация (Linux)
Основы Linux. Установка системы
Установка ОС Ubuntu в виртуальной машине. Работа в SSH-клиенте
Работа с файлами в терминале
Права доступа и безопасность
Установка пакетов, репозитории. Планировщик Cron
Подключение сторонних репозиториев, ручная установка пакетов
Сетевые возможности Linux
Настройка сети в Linux. Работа с IPtables
Веб-сервер на Linux
Запуск стека для веб-приложения
Основы Docker
Запуск веб-приложения из контейнеров
Скрипты Bash
Контейнеризация
Механизм пространства имен
Механизмы контрольных групп
Введение в Docker
Dockerfile и слои
Docker Compose и Docker Swarm
Аттестация по теме
Базы данных и SQL
Инструменты для работы с базами данных
Установка СУБД, подключение к БД, просмотр и создание таблиц
Создание объектов, изменение данных, логические операторы, простые запросы выборки
Выборка данных, сортировка, агрегатные функции
Объединение таблиц (Union), соединение (Join), подзапросы
Работа с несколькими таблицами
Оконные функции
Транзакции, ACID, временные таблицы, управляющие конструкции, циклы
Аттестация по теме
⦿ Итоговая аттестация
★ Курсы на выбор
Алгоритмы и структуры данных
Контроль Версий Углубленно (Git)
Компьютерные сети
Гибкие методологии (Agile, SCRUM, Канбан и другие)
Веб верстка html/css
Вводный курс Big data
Искусственный интеллект
Кибернетика умных устройств
Data science передовые технологии
Основы информационной безопасности
Парадигмы программирования и языки парадигм
Технологическая специализация
3 месяца

Погружение в С++
Структура кода С++ и процесс компиляции
Синтаксис
Работа с памятью
Структуры и классы
Наследование и ООП
Динамический полиморфизм
Дополнительные возможности С++
Функции
Структуры данных и инструменты STL
Шаблоны
Шаблоны 2 часть
Move semantics && perfect forwarding
Умные указатели
Строки ввода и вывода
Встроенные типы, инструкции и операторы
Namespace. Переопределение операторов.
Стандартная библиотека шаблонов С++
Обработка ошибок, Отладка
Алгоритмы и функторы
bind & function
Препроцессор
Продвинутые возможности C++
TCP/UDP и IP
Разработка веб-приложения на С++
Библиотеки. Статические и динамические
Сmake, curl, простой сервер
Построение крупного проекта. 1 Часть.Облако хранения.
Построение крупного проекта. 2 Часть. Облако хранения.
⦿ Защита диплома"
6215,Разработчик приложений на Android,https://gb.ru/geek_university/developer/programmer/android,"Разработчики на Android занимаются созданием и доработкой приложений и программ для данной операционной системы. Они создают интерфейс, программируют логику работы приложения, занимаются оптимизацией ресурсов, которые необходимы для работы программы, Программирование",Fullstack,"Java,Kotlin,Android SDK,JUnit,Swift,Objective-C,iOS SDK,JavaScript,C++,CSQL,Git",Junior,"Станьте востребованным разработчиком приложений для устройств на Android. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, операционные системы, программное обеспечение, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация
7 месяцев

Курсы
Знакомство с языком Python
Java: знакомство и как пользоваться базовым API
Объектно-ориентированное программирование (ООП)
Операционные системы и виртуализация (Linux)
База данных и SQL
Алгоритм и структуры данных
Промежуточная аттестация
Архитектура ПО
Контейнеризация
Сборка проектов и деплой, CI/CD
Парадигмы программирования и языки парадигм
Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти
Знакомство с веб-технологиями
вне четверти
Компьютерные сети
вне четверти
Контроль версий Углубленно (Git)
вне четверти
Итоговая аттестация
Технологическая специализация
3 месяца

Курсы
Java Core
Java Development Kit
Блок Kotlin и Окружение
Android фреймворк
Архитектура и Хранение данных
Многопоточность
Продвинутый блок и Google"
6304,Инженер по тестированию Мастер,https://gb.ru/geek_university/developer/qa-engineer/master,"QA-тестировщик или инженер по тестированию — это специалист, который создаёт сценарии тестирования, прогнозирует и находит ошибки в IT продуктах. Таким специалистам важно разбираться в бизнес-процессах и досконально знать продукт, чтобы сохранять баланс между интересами пользователей, целями менеджмента компании и возможностями команды разработки., Тестирование","Ручное,автоматизированное","Java,SQL,NoSQL,Allure,Spring,JUnit,Selenium,REST,CI/CD,X-Path,JavaScript,HTML/CSS,Python",Middle,"Станьте профессиональным инженером по тестированию мобильных и веб-приложений и систем. На программе Вы получите навыки ручного и автоматизированного тестирования, научитесь быстро находить баги, разрабатывать тест-кейсы и эффективные тестовые сценарии. Вы также изучите основы программирования и научитесь создавать системы автоматизированного тестирования. В пакете Мастер вы получаете возможность углубленно изучить технологическую специализацию с экспертной поддержкой.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.

Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.

Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.

Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.

Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.

Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.

Специализация

Знакомство с языком Python
Знакомство с веб-технологиями
Java: знакомство и как пользоваться базовым API
Промежуточная аттестация
Введение в тестирование
Основы ручного тестирования
Тест-дизайн и тест-анализ + Практикум
Подготовка к собеседованию. Часть 1
Тестирование API
Промежуточная аттестация
Тестирование веб-приложений
Тестирование мобильных приложений
Итоговая аттестация
Исключения в программировании и их обработка
вне четверти

Unit-тесты
вне четверти

Диаграммы состояний
вне четверти

Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти

Операционные системы и виртуализация (Linux)
вне четверти"
6261,Frontend-разработчик Мастер,https://gb.ru/geek_university/developer/programmer/frontend/master,"Frontend-разработчик отвечает за внешний вид сайта или мобильного приложения: он верстает шаблоны, красиво оформляет текст и изображения, улучшает взаимодействие пользователя с интерфейсом. Без frontend-разработчика не получится создать удобный цифровой продукт., Программирование",Frontend,"JavaScript,NodeJS,Vue.js,ReactJS,TypeScript,Webpack,SQL,Redux,Angular,Git",Middle,"Станьте Frontend-разработчиком, который специализируется на внешнем оформлении сайтов. Вы получите базовые знания и на практике научитесь создавать сайты и приложения, проектировать интерфейсы и работать со сложными инструментами frontend-разработчика. Изучите фреймворки и библиотеки, которые упростят вашу работу. Через 9 месяцев обучения вы сможете трудоустроиться. В пакете Мастер вы получаете возможность углубленно изучить технологическую специализацию с экспертной поддержкой.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация Программист


Курсы
Знакомство с языком Python
Java: знакомство и как пользоваться базовым API
Объектно-ориентированное программирование (ООП)
Операционные системы и виртуализация (Linux)
База данных и SQL
Алгоритм и структуры данных
Исключения в программировании и их обработка
Промежуточная аттестация
Архитектура ПО
Контейнеризация
Сборка проектов и деплой, CI/CD
Парадигмы программирования и языки парадигм
Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти
Знакомство с веб-технологиями
вне четверти
Компьютерные сети
вне четверти
Контроль версий Углубленно (Git)
вне четверти
Итоговая аттестация
Технологическая специализация


Курсы
Продвинутый HTML + CSS
JavaScript про ECMAScript
Основы Node.js и инструменты сборки кода
JavaScript про API браузеров
Библиотека React.js
Фреймворк AngularJS
Фреймворк Vue.js"
6265,Fullstack-разработчик,https://gb.ru/geek_university/developer/programmer/fullstack,"Fullstack-разработчики — универсальные программисты, которые разрабатывают и серверную, и клиентскую часть проекта. Эти специалисты очень востребованы, так как могут заменить программистов разного профиля. Fullstack-разработчики владеют широким стеком технологий, поэтому могут создать веб-проект в одиночку, Программирование",Fullstack,"JavaScript,HTML/CSS,PHP,Laravel,SQL,Git",Junior,"Станьте Fullstack-разработчиком, который разбирается и во внешней оболочке сайта, и в его внутренней логике работы. Получите базовые знания и на практике освойте навыки разработки веб-сервисов: от верстки и анимации, до создания баз данных. Изучите языки JavaScript, Python, PHP и другие технологии и научитесь создавать сайты, мобильные приложения и высоконагруженные сервисы. И уже через 9 месяцев вы сможете трудоустроиться.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация Программист


Курсы
Знакомство с языком Python
Java: знакомство и как пользоваться базовым API
Объектно-ориентированное программирование (ООП)
Операционные системы и виртуализация (Linux)
База данных и SQL
Алгоритм и структуры данных
Исключения в программировании и их обработка
Промежуточная аттестация
Архитектура ПО
Контейнеризация
Сборка проектов и деплой, CI/CD
Парадигмы программирования и языки парадигм
Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти
Знакомство с веб-технологиями
вне четверти
Компьютерные сети
вне четверти
Контроль версий Углубленно (Git)
вне четверти
Итоговая аттестация
Технологическая специализация


Курсы
Продвинутый HTML + CSS
JavaScript про ECMAScript
Основы Node.js и инструменты сборки кода
JavaScript про API браузеров
Библиотека React.js
Фреймворк AngularJS
Фреймворк Vue.js"
6292,Инженер-программист Python Мастер,https://gb.ru/geek_university/developer/programmer/python/master,"Python является самым популярным языком программирования из-за своей простоты и универсальности. Его используют не только для разработки веб-приложений и сервисов, но и для автоматизации, тестирования, анализа данных и машинного обучения. На Python написано множество библиотек для нейросетей и много другого., Программирование",Backend,"Python,SQL,NoSQL,Django,JavaScript,HTML/CSS,Git",Middle,"Станьте инженером-программистом на одном из самых простых и популярных языков программирования Python. На практике научитесь понимать фундаментальные алгоритмы и использовать их для решения задач. Вы сможете писать сайты, приложения, нейросети и программы для научных исследований, Telegram-бота. Вы сможете трудоустроиться после 9 месяцев обучения. В пакете Мастер вы получаете возможность углубленно изучить технологическую специализацию с экспертной поддержкой.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация Программист


Курсы
Знакомство с языком Python
Java: знакомство и как пользоваться базовым API
Объектно-ориентированное программирование (ООП)
Операционные системы и виртуализация (Linux)
База данных и SQL
Алгоритм и структуры данных
Исключения в программировании и их обработка
Промежуточная аттестация
Архитектура ПО
Контейнеризация
Сборка проектов и деплой, CI/CD
Парадигмы программирования и языки парадигм
Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти
Знакомство с веб-технологиями
вне четверти
Компьютерные сети
вне четверти
Контроль версий Углубленно (Git)
вне четверти
Итоговая аттестация
Технологическая специализация


Курсы
Погружение в Python
Веб-вёрстка HTML / CSS
Микрофреймворки Flask и FastAPI
Фреймворк Django"
6340,ИТ-инженер Data Science Мастер,https://gb.ru/geek_university/engineer/datascience,"Data Scientist анализирует большой объём данных, прогнозирует события и помогает находить неочевидные закономерности. С помощью машинного обучения он может ставить диагнозы, обнаруживать болезни и персонализировать лечение., Выберу в процессе обучения",,"Python,SQL,Docker,NoSQL,ANNs,Keras,TensorFlow,PyTorch,и другие",Middle,"Получите востребованную IT-профессию. Вы узнаете, где и как собирать и обрабатывать данные, чтобы извлечь из них пользу для бизнеса. Научитесь подбирать эффективное решение для клиента и реализовывать с помощью машинного обучения. На PRO-версии программы вы погрузитесь в технологическую специализацию и сможете трудоустроиться через 9 месяцев в процессе обучения или сразу после него.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.

Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.

Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.

Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.

Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.

Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.

Специализация

Знакомство с языком Python
Знакомство с веб-технологиями
Основы анализа данных в Excel
Основы языка Python для аналитиков
База данных и SQL
Введение в BI
Промежуточная аттестация
Введение в продуктовую аналитику
Теория вероятностей и математическая статистика
А/В тестирование
Основы моделирования бизнес процессов. Введение в бизнес-модель
Итоговая аттестация
Финансовая математика
вне четверти

Юнит-экономика
вне четверти

Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти

Конфликтология
вне четверти"
6648,Сетевой инженер,https://gb.ru/geek_university/developer/architecture/network-engineer,"Инженер по сетевым коммуникациям востребован в компаниях с развитой IT-инфраструктурой: это провайдеры, мобильные операторы, банки, больницы, заводы и аэропорты. Сетевой инженер создаёт и обслуживает внутренние сети компании, следит за устойчивой работой, правильной конфигурацией и защищённостью сетей., Архитектура",,"Python,Linux,TCP/IP,FHRP,STP,BGP,OSPF",Junior,"Вы научитесь настраивать оборудование и протоколы маршрутизации, проектировать безопасные и масштабируемые сети для бизнеса, автоматизировать рутинную работу.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
"
6652,DevOps-инженер Мастер,https://gb.ru/geek_university/developer/architecture/devops,"DevOps-инженеры контролируют все этапы создания продукта: от написания кода до релиза. Помогают отделам разработки и администрирования, синхронизируют их усилия и автоматизируют технические процессы. За два года спрос на этих специалистов вырос на 70%. Мы поможем стать DevOps-инженером с нуля и найдём вам работу, Архитектура",Backend,"Ethernet,Unix,CI/CD,DNS,Docker,Kubernetes (K8s),Python,SQL,NoSQL,Zabbix,ELK",Middle,"Вы научитесь настраивать пайплайны CI/CD, использовать подход «Инфраструктура как код» для настройки серверов и развёртывания инфраструктуры в облаке. Узнаете, в чём преимущество микросервисной архитектуры по сравнению с традиционной. Сможете работать с Docker и Kubernetes.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
"
