,name,url,Направление (тег),Специализация,Подвид,Тип устройства,"Технологии, инструменты",Уровень сложности,Класс,summary,other,trash
5455,Компьютерная грамотность,https://gb.ru/courses/geek-school/literacy,Профессии для школьников,", Выберу в процессе обучения",,,,Junior,2-3 классы,"Компьютерная грамотность
Ребёнок научится пользоваться компьютером для обучения и полезного досуга
Соберёт портфолио из десяти проектов, которые помогут в учёбе
Попробует себя в двух IT-профессиях","Модуль 1. Возможности компьютера
Плюс
Знакомимся с файлами
Изучаем графический редактор
Работаем во встроенных программах
Знакомимся с безопасной работой в интернете
Звезда
Проект: компьютерная заметка с планом дня рождения

Модуль 2. Компьютер для школы
Плюс
Знакомимся с почтой и облачным хранилищем
Создаём цифровые шпаргалки
Работаем с таблицами и графиками
Создаём презентацию для финального проекта
Звезда
Проект: презентация, таблица и несколько шпаргалок

Модуль 3. Компьютер для досуга
Плюс
Находим полезную информацию
Создаём доску с полезными привычками
Работаем в команде
Звезда
Проект: коллаж, чек-лист эффективного обучения и доска со списком полезных привычек

Модуль 4. Цифровые профессии
Плюс
Иллюстратор-аниматор: работаем с графикой
Гейм-дизайнер: знакомимся с основами программирования
Собираем свои работы
Звезда
Проект: анимированное изображение, мини-игра и портфолио",plus
5578,Графический дизайн,https://gb.ru/courses/geek-school/graphic-design,Профессии для школьников,", Цифровое творчество",,,,Junior,"4-6 класс,7-8 классы","Графический дизайн
Ребёнок попробует себя в четырёх профессиях сферы графического дизайна
Соберет портфолио из девяти проектов
Освоит профессиональные программы для дизайнера — Adobe Photoshop, Illustrator, InDesign
Раскроет свой творческий потенциал","Модуль 1. Иллюстрация
Плюс
Векторные иллюстрации и работа с узорами — паттернами
Композиция и колористика
Работа с объемом
Основы работы в Adobe Illustrator: фигуры, перо, кривые Безье, слои, вырезание, трассировка
Звезда
Проекты: серия иллюстраций и геометрических паттернов на тему персонажей и растительности

Портфель
Профессия: иллюстратор

Модуль 2. Плакаты
Плюс
Цвет и шрифт в плакате
Стили плакатов и художественные приемы оформления
Техника коллажа
Основы работы в Adobe Photoshop: кисти, эффекты, цветокоррекция, обтравка, вырезание, маски, текст
Звезда
Проекты: три серии плакатов

Портфель
Профессия: дизайнер коммуникаций

Модуль 3. Верстка
Плюс
Шрифты
Сетка, столбцы и колонки
Иерархия объектов на развороте
Основы работы в Adobe InDesign: сетка, фреймы, текст, форматы документов
Звезда
Проекты: серия разворотов с различными видами сеток и шрифтовых композиций, портфолио

Портфель
Профессия: дизайнер-верстальщик

Модуль 4. Фирменный стиль, часть 1
Плюс
Разработка концепции бренда и бренд-платформы
Техники мозгового штурма, создание досок настроения
Разработка логотипа и инфографики
Совмещение работы в Adobe Photoshop и Illustrator
Знакомство с программами Miro и Pinterest
Звезда
Проекты: логотип, цветовое решение и инфографика по своей задумке

Портфель
Профессия: бренд-дизайнер

Модуль 5. Фирменный стиль, часть 2
Плюс
Создание паттерна для бренда
Работа с носителями фирменного стиля и мокапами
Совместная работа над проектом
Создание презентации фирменного стиля
Совмещение работы в Adobe Photoshop, Illustrator и InDesign.
Звезда
Проекты: паттерн, шрифт для бренда, фирстиль для разных носителей, презентация фирстиля

Портфель
Профессия: бренд-дизайнер",plus
5191,3D-моделирование в Blender,https://gb.ru/courses/geek-school/3d,Профессии для школьников,", Цифровое творчество",,,,Junior,"4-6 классы,7-8 классы","3D-моделирование
Ребёнок попробует себя в роли 3D-моделлера в играх, мультипликации, дизайне и архитектуре
Научится работать с моделями, анимацией и текстурами","Модуль 1. Основы 3D-моделирования
Плюс
Работа с примитивами
Модификаторы
Полигональное моделирование
Звезда
Проекты: модель автомобиля в выбранном стиле

Портфель
Профессия: 3D-моделлер

Модуль 2. Текстуры и рендер
Плюс
Развертка
Наложение текстур
Рендер, свет и постобработка
Звезда
Проекты: животное и персонаж мультика

Портфель
Профессия: визуализатор в сфере архитектуры и интерьера

Модуль 3. Моделирование персонажа
Плюс
Скульптинг персонажа
Работа с кистями
Работа с волосами и шерстью
Звезда
Проекты: животное и персонаж мультика

Портфель
Профессия: 3D-художник по персонажам

Модуль 4. Анимация
Плюс
Базовая анимация
Анимация ходьбы
Работа с ключевыми кадрами
Звезда
Проекты: анимация персонажа и машины

Портфель
Профессия: 3D-аниматор

Модуль 5. Система частиц
Плюс
Знакомство с нодами
Эффекты
Командная работа
Звезда
Проекты: костёр, сцена с ландшафтом и временами года

Портфель
Профессия: художник по композиции",plus
4020,Дизайн и программирование в Roblox Studio,https://gb.ru/courses/geek-school/roblox,Профессии для школьников,", Разработка игр",,,,Junior,4-6 классы,"Программирование и дизайн игр в Roblox
Ребёнок будет создавать игры, а не играть в них
Освоит программирование и 3D-дизайн
Попробует себя в востребованных IT-профессиях","Модуль 1. Возможности Roblox Studio
Плюс
Жанры игр
Создание ландшафта и окружения игры
Возможности программирования
Звезда
Проекты: приключенческие игры в жанрах «Парк юрского периода» и обби

Модуль 2. Создание персонажей и моделирование
Плюс
Создание сложных 3D-моделей
Разработка персонажей
Способы монетизации проектов
Звезда
Проекты: две игры — ролевая и в жанре хоррор

Модуль 3. Командная работа и первый симулятор
Плюс
Создание и презентация командных проектов
Работа с текстурами
 Программирование игровых уровней
Звезда
Проекты: командный, а также экономический симулятор

Модуль 4. Продвинутое программирование
Плюс
Анимация игровых объектов
Создание интерфейса игры
Программирование сложных игровых механик
Звезда
Проекты: две игры — стрелялка и в жанре «Побег из тюрьмы»

Модуль 5. Игровой дизайн
Плюс
Работа со звуком
Создание многопользовательской игры
Разработка и презентация индивидуального проекта
Звезда
Проекты: индивидуальный, а также игра в стиле Battle Royale",plus
5802,Программирование и разработка игр на Scratch,https://gb.ru/courses/geek-school/scratch,Профессии для школьников,", Выберу в процессе обучения",,,,Junior,2-3 классы,"Программирование и создание игр на Scratch
Ребенок научится программировать
Попробует себя в пяти профессиях: от сценариста до разработчика
Соберет портфолио из игр и мультфильмов по своей задумке
Улучшит понимание математики и обгонит школьную программу","Модуль 1. Создание анимации
Плюс
Узнаем, из чего состоит программа
Осваиваем графический редактор и инструменты рисования
Работаем с фоном, костюмами и другими объектами
Знакомимся с событиями в программировании
Звезда
Результат модуля: анимированный герой, игра-кликер, комикс, визитная карточка

Модуль 2. Создание мультфильмов
Плюс
Учим персонажа передвигаться
Работаем над сюжетом и диалогами
Озвучиваем персонажа
Работаем с системой координат и градусами
Звезда
Результат модуля: 3 мультфильма с выбранными персонажами

Модуль 3. Знакомство с игровой механикой
Плюс
Программирование: работаем с условиями, операторами и переменными
Создаем процедуры и команды по своей задумке
Создаем игру с подсчетом очков
Программируем условия победы
Звезда
Результат модуля: игры «Разгоняем облака», «Собери предметы», «Лабиринт», «Стрелялка», а также игра по своей задумке

Модуль 4. Командная разработка
Плюс
Знакомимся с логическими операторами
Узнаем о ролях в команде
Делимся на команды и создаем викторины
Создаем своего чат-бота — с дизайном и уникальными возможностями
Звезда
Результат модуля: чат-бот, викторина с выбором ответов, игра «Метеоритный дождь», симулятор запуска ракеты

Модуль 5. Платформеры
Плюс
Рисуем игровые объекты в стиле пиксель-арт
Создаем клонов для игры
Дорабатываем дизайн, уровни, персонажей
Работаем с физикой: настраиваем гравитацию в игре
Звезда
Результат модуля: игра в стиле «Динозаврик из Google» и уникальный платформер",plus
6104,Программирование и 3D-моделирование в Minecraft,https://gb.ru/courses/geek-school/minecraft-for-kids,Профессии для школьников,", Выберу в процессе обучения",,,,Junior,2-3 классы,"Майнкрафт: программирование и 3D-моделирование
Ребёнок будет создавать игры, а не играть в них
Освоит программирование и 3D-дизайн
Попробует себя в востребованных IT-профессиях","Модуль 1. Создание миров в Minecraft
Плюс
Компьютерная грамотность: работаем с мышкой и клавиатурой, выходим в интернет
Организация работы: учимся сохранять и загружать файлы
Программа WorldPainter: осваиваем инструменты для создания ландшафта и текстур
2D-анимация: создаем персонажа для игры
Звезда
Результат модуля: анимированный персонаж, уникальные карты и симуляция мира Древнего Египта

Модуль 2. Создание предметов
Плюс
Заготовки: создаем игровые кубы и текстуры для будущих построек
Игровые предметы: моделируем кристаллы, рюкзак, зелье, оружие
Игровой процесс: настраиваем инвентарь игрока
Звезда
Результат модуля: предметы, которыми можно пользоваться в игре

Модуль 3. Программирование и игровой дизайн
Плюс
Программирование: знакомство с блочной логикой
Игровой дизайн: создаем игры и мультики по тематике Minecraft
Прототип сервера в Scratch: создаем пространство с несколькими игроками
Звезда
Результат модуля: прототип игрового сервера, мультфильм и игра с персонажами из вселенной Minecraft

Модуль 4. Командная работа
Плюс
3D-моделирование и программирование: создаем полнообъемные игровые предметы
Доработка сервера: создаем мир с ландшафтом, постройками и предметами интерьера
Звезда
Результат модуля: готовый игровой сервер и 3D-модели для Minecraft

Модуль 5. Углубленное программирование
Плюс
Рандомайзер: создаем здание и территории, которые появляются случайным образом
Программирование: создаем машины и животных, которые умеют двигаться
Индивидуальный проект: повторяем пройденные темы и создаем мир со всеми предметами и модификациями
Звезда
Результат модуля: индивидуальный проект с анимированными и запрограммированными предметами",plus
6156,Инженер-аналитик,https://gb.ru/geek_university/developer/analyst,Информационные технологии,"Инженер-аналитик — это специалист совмещающий в себе несколько ролей: системного аналитика, бизнес-аналитика и инженера. В его задачи входят исследование, проектирование, конструирование и разработка новых технологий на базе анализа данных о пользователях, бизнес-процессах и продуктах компании., Аналитика","Сбор и обработка данных,Визуализация данных,Анализ данных,Машинное обучение,Data Science,Нейронные сети,Искусственный интеллект",,"SQL,NoSQL,Python,Pandas,Matplotlib,Seaborn,Power BI,Excel,Amplitude,Appsflyer,Tableau,и другие",Junior,Взрослый,"Аналитик с нуля до Junior
Станьте профессиональным инженером-аналитиком и получите одну из самых востребованных профессий. На программе Вы научитесь собирать и обрабатывать данные, визуализировать и интерпретировать их. Получите знания по основам создания и развития процессов, функциональных и бизнес-моделей деятельности. Научитесь формировать метрики и показатели и работать с ними. Сможете превращать информацию в понятные отчеты и графики, делать выводы на ее основе, помогая специалистам и системам принимать решения на основе данных.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация
7 месяцев

Курсы
Знакомство с языком Python
Знакомство с веб-технологиями
Основы анализа данных в Excel
Основы языка Python для аналитиков
База данных и SQL
Введение в BI
Промежуточная аттестация
Введение в продуктовую аналитику
Теория вероятностей и математическая статистика
А/В тестирование
Основы моделирования бизнес процессов. Введение в бизнес-модель
Итоговая аттестация
Финансовая математика
вне четверти
Юнит-экономика
вне четверти
Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти
Конфликтология",
6163,BI (Business Intelligence) аналитик,https://gb.ru/geek_university/developer/analyst/bi,Информационные технологии,"BI-аналитик — это специалист, который использует данные и другую информацию, чтобы помочь организациям принимать обоснованные бизнес-решения. BI -аналитиков также могут попросить запрограммировать инструменты и модели данных, чтобы помочь сделать инфографику или создать инструменты, способные нормировать и контролировать данные., Аналитика",-,,"Python,SQL,NoSQL,NumPy,Matplotlib,Scikit-learn,Hadoop,Power BI,и другие",Junior,Взрослый,"BI-аналитик
Станьте профессиональным BI (Business Intelligence) аналитиком и получите одну из самых востребованных профессий. На программе Вы научитесь собирать и обрабатывать данные, визуализировать и интерпретировать их. Получите знания по основам построения финансовых, функциональных и бизнес-моделей деятельности. Научитесь формировать метрики и показатели и работать с ними. Сможете превращать информацию в понятные отчеты и графики, делать выводы на ее основе, помогая специалистам создавать системы и принимать управленческие решения на основе данных.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация Аналитик
7 месяцев

Курсы
Знакомство с языком Python
Знакомство с веб-технологиями
Основы анализа данных в Excel
Основы языка Python для аналитиков
База данных и SQL
Введение в BI
Промежуточная аттестация
Введение в продуктовую аналитику
Теория вероятностей и математическая статистика
А/В тестирование
Основы моделирования бизнес процессов. Введение в бизнес-модель
Итоговая аттестация
Финансовая математика
вне четверти
Юнит-экономика
вне четверти
Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти
Конфликтология
вне четверти
Технологическая специализация
3 месяца

Курсы
Power BI-визуализация
Qlik View
Power Query
DAX
Отечественные BI системы
UX/UI анализ дашбордов",
6203,Продуктовый аналитик,https://gb.ru/geek_university/developer/analyst/product,Информационные технологии,"Продуктовый аналитик ищет возможности для улучшения и развития продукта: исследует поведение клиентов, проверяет гипотезы, оценивает эффективность изменений продукта, Аналитика",-,,"Google Analytics,Яндекс.Метрика,Firebase,Python,SQL,Power BI,MS Excel,Tableau,Google Optimize,и другие",Junior,Взрослый,"Аналитик с нуля до Junior
Станьте профессиональным инженером-аналитиком и получите одну из самых востребованных профессий. На программе Вы научитесь собирать и обрабатывать данные, визуализировать и интерпретировать их. Получите знания по основам создания и развития процессов, функциональных и бизнес-моделей деятельности. Научитесь формировать метрики и показатели и работать с ними. Сможете превращать информацию в понятные отчеты и графики, делать выводы на ее основе, помогая специалистам и системам принимать решения на основе данных.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация
7 месяцев

Курсы
Знакомство с языком Python
Знакомство с веб-технологиями
Основы анализа данных в Excel
Основы языка Python для аналитиков
База данных и SQL
Введение в BI
Промежуточная аттестация
Введение в продуктовую аналитику
Теория вероятностей и математическая статистика
А/В тестирование
Основы моделирования бизнес процессов. Введение в бизнес-модель
Итоговая аттестация
Финансовая математика
Юнит-экономика
Гибкие методологии (Agile, SCRUM, Kanban и другие)
Конфликтология",
6239,Инженер-программист,https://gb.ru/geek_university/developer/programmer,Информационные технологии,"Инженер-программист - это человек, который применяет принципы программной инженерии для проектирования, разработки, обслуживания, тестирования и оценки компьютерного программного обеспечения. Эта профессия подразумевает сочетание должностных обязанностей двух специальностей: программиста и инженера. Таким образом, инженер-программист является своего рода универсалом, объединяющим умения и навыки этих двух областей., Программирование","Frontend,Backend,Fullstack","Десктоп,Веб,Mobile,Оборудование","Java,Python,JavaScript,C++,C,TCP/IP,SQL,NoSQL,Linux,Git,HTML/CSS,Docker,Allure,Selenium,Unit,Power BI,Tableau,Amplitude,ANNs,GAN,и другие",Junior,Взрослый,"Программист с нуля до Junior
Станьте востребованным инженером-программистом и получите одну из самых востребованных профессий в IT. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое. Вы так же познакомитесь с тестированием и системным анализом информационных технологий. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении.","Введение в программирование
Расскажем, как спланировать обучение, чтобы сохранить интерес, получить максимум пользы и всё успеть.
Введение в контроль версий + Практикум
Вы освоите все ключевые операции в системе: создание и клонирование репозитория, слияние веток, запрос истории изменений и многое другое. Курс приблизит вас к прохождению собеседования, где несколько вопросов обычно посвящены системе контроля версий.
Знакомство с языками программирования + Практикум
Познакомитесь с языками программирования: функциями и массивами, рекурсиями и двумерными массивами. Узнаете, как нужно писать код.
Знакомство с базами данных
Познакомитесь с понятием «базы данных», разберетесь с их видами и основными подходами к работе с данными. Узнаете методы проектирования баз данных, а также способы модификации их структуры.
Итоги блока. Выбор специализации
Изучите колесо компетенций и матрицу Декарта. Познакомитесь со специализациями и выберете дальнейшее направление развития.
Математика и информатика для программистов. Видеокурс
Дополнительный курс, в котором вы восполните необходимые базовые знания по математике. Курс позволит облегчить вхождение в профессию.
Специализация Программист
7 месяцев

Курсы
Знакомство с языком Python
Java: знакомство и как пользоваться базовым API
Объектно-ориентированное программирование (ООП)
Операционные системы и виртуализация (Linux)
База данных и SQL
Алгоритм и структуры данных
Исключения в программировании и их обработка
Промежуточная аттестация
Архитектура ПО
Контейнеризация
Сборка проектов и деплой, CI/CD
Парадигмы программирования и языки парадигм
Гибкие методологии (Agile, SCRUM, Kanban и другие)
вне четверти
Знакомство с веб-технологиями
вне четверти
Компьютерные сети
вне четверти
Контроль версий Углубленно (Git)
вне четверти
Итоговая аттестация",
